product_id,url,name,current_price,original_price,image,unit,in_stock
"B0FXXFVSSD","https://www.amazon.in/dp/B0FXXFVSSD","PetCrux Earthy Clump Cat Litter | Natural Bentonite Clay | Lavender Scented| Superior Odour Control | 99.9% Dust Free Scoopable (for Multiple Cats), 5kg (Pack of 4)","1196.00","1196.00","https://m.media-amazon.com/images/I/51KWzeiFLoL._SY450_PIbundle-4,TopRight,0,0_AA450SH20_.jpg","20 kg","In Stock"
"B0F38GSBKS","https://www.amazon.in/dp/B0F38GSBKS","PetCrux Essentials Kit Earthy Clump Natural Bentonite Clay Cat Litter 10kg 1 Cat Litter Tray and 1 Scooper Combo for All Breeds of Cat","1399.00","2000","https://m.media-amazon.com/images/I/61UKHuJTpnL._SY450_.jpg","11 kg","In Stock"
"B0CBPQLNL8","https://www.amazon.in/dp/B0CBPQLNL8","Petcrux Cat Scratching Pad, Large Tightly Corrugated Cardboard Reversible Cat Scratcher | Premium Scratch Texture Design - Wave","349.00","699","https://m.media-amazon.com/images/I/41e1oDtzUsL._SY450_.jpg","370 g","In Stock"
"B0F31FQW7N","https://www.amazon.in/dp/B0F31FQW7N","PetCrux Earthy Clump Cat Litter 10Kg and 1 Cat Litter Tray 100% Natural Bentonite Clay for All Breeds of Cats 2 Packs of 5 Kgs (Combo)","1299.00","1500","https://m.media-amazon.com/images/I/61P+OKhGW1L._SY450_.jpg","11 kg","In Stock"
"B0CRB53CQ9","https://www.amazon.in/dp/B0CRB53CQ9","Petcrux Premium Clamp Poop Scooper for Pet Waste, Cleaner & Picker Potty Scooper, High Strength Material, and Durable Spring for Easy Grass and Gravel Pick Up Puppies & Small Breed - Small","199.00","499","https://m.media-amazon.com/images/I/61WI4zRlfEL._SY450_.jpg","200 g","In Stock"
"B0CHWCDR6Y","https://www.amazon.in/dp/B0CHWCDR6Y","Petcrux Premium Pellet Turtle Food for All Life Stages Contains Fish 4kg(4 Packs of 1kg)","2200.00","2200.00","https://m.media-amazon.com/images/I/61EHpQOEy4L._SY450_PIbundle-2,TopRight,0,0_AA450SH20_.jpg","1 kg","In Stock"
"B0D8BMCD2V","https://www.amazon.in/dp/B0D8BMCD2V","Petcrux SOBO Multicolor Glass Aquarium Fluorescent Light, 6 inch","375.00","599","https://m.media-amazon.com/images/I/71B+3qOiEnL._SY679_.jpg","400 g","In Stock"
"B08JM791Q8","https://www.amazon.in/dp/B08JM791Q8","PetCrux Tofu Cat Litter 2.5Kg 100% Natural Biodegradable Odour Lock Corn Scented Dust Free Clay Trial or Travel or Single Pack of Absorbent Eco-Friendly Flushable Sand for All Breeds of Cats","699.00","950","https://m.media-amazon.com/images/I/61MfxCA6OWL._SY450_.jpg","2 kg 480 g","In Stock"
"B0D8BJ3VNW","https://www.amazon.in/dp/B0D8BJ3VNW","Petcrux Aquarium Water Changer Siphon Pump Without Valve 2 metres","299.00","299.00","https://m.media-amazon.com/images/I/51r6vSf-WdL._SX466_.jpg","100 g","In Stock"
"B0CQFH66BB","https://www.amazon.in/dp/B0CQFH66BB","Petcrux Large Bird Feeder with Holding Handle with 4 Feeding Nozzles, Hanging Sparrow Bird Feeder for Balcony, Garden Outdoor Bird Feeder, Bird Food Feeder (Green)","1199.00","1199.00","https://m.media-amazon.com/images/I/613VjXd0cJL._SY450_.jpg","200 g","In Stock"
"B09K5MDBLP","https://www.amazon.in/dp/B09K5MDBLP","Petcrux Pet Transparent Cat/Pet Bag Pet Carrier Backpack Puppy Kitty Breathable Carriers for Travel (Plain Printed Transparent, Blue Seabed)","1799.00","3499","https://m.media-amazon.com/images/I/61rySDG4zbL._SY450_.jpg","5 kg 440 g","In Stock"
"B0CR6JCXMS","https://www.amazon.in/dp/B0CR6JCXMS","Petcrux Potty Picker Poop Bags for Dog, Thick and Strong, Leak Proof Dog Poop Plastic Bag, Biodegradable for Waste Pick Up Bags, Unscented Outdoor Puppy Walking and Travel - 75 Bags","399.00","399.00","https://m.media-amazon.com/images/I/61ljnk-SPbL._SX679_.jpg","200 g","In Stock"
"B0FXXJC3WD","https://www.amazon.in/dp/B0FXXJC3WD","PetCrux Earthy Clump Cat Litter | Natural Bentonite Clay | Lavender Scented| Superior Odour Control | 99.9% Dust Free Scoopable (for Multiple Cats), 5kg (Pack of 2)","598.00","598.00","https://m.media-amazon.com/images/I/61huq8XbQ-L._SX450_PIbundle-2,TopRight,0,0_SX450SY314SH20_.jpg","10 kg","In Stock"
"B08NYM9BKC","https://www.amazon.in/dp/B08NYM9BKC","Petcrux Pet Food Shovel, Food Dispenser for Pets, Multi Color (Pack of 2)","249.00","600","https://m.media-amazon.com/images/I/31wr5hq+miL._SX450_.jpg","5 kg 440 g","In Stock"
"B08NYFJYW7","https://www.amazon.in/dp/B08NYFJYW7","Petcrux Pet Food Shovel, Food Dispenser for Pets, Multi Color (Pack of 1)","159.00","300","https://m.media-amazon.com/images/I/51Aj9U2+ltL._SY450_.jpg","5 kg 440 g","In Stock"
"B0CZRX81YP","https://www.amazon.in/dp/B0CZRX81YP","Petcrux Cat Treats for All Life Stages, Nutritious and Delicious, Chicken Liver Bits with Turmeric Flavour, Rich in Protein, Perfect for Training, Rewards and Snacks, Human Grade Ingredients, 90gm","149.00","300","https://m.media-amazon.com/images/I/61idvZH4D6L._SY450_.jpg","90 g","In Stock"
"B0CQG3WQ3F","https://www.amazon.in/dp/B0CQG3WQ3F","Petcrux Bird Feeder Starter Kit With Bajra Food 1kg, Hanging Sparrow Feeder for Balcony, Garden Outdoor (Green)","499.00","499.00","https://m.media-amazon.com/images/I/51wWO5oYPML._SY450_.jpg","2 kg 100 g","Out of Stock"
