product_id,asin,name,unit,current_price,original_price,in_stock,image,url
"722944","722944","Pepe Jeans Innerfashion Printed Women's Sleepwear Set (Beige)","1 set","1349","2299","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/ac618c6b-78c2-42e2-9adf-bb5ec1ad77ec.png","https://blinkit.com/prn/pepe-jeans-innerfashion-printed-womens-sleepwear-set-beige/prid/722944"
"723103","723103","Pepe Jeans Innerfashion Printed Women's Sleepwear Set (Light Pink)","1 set","1599","2499","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/17b95869-3332-473a-9ca7-321a00090177.png","https://blinkit.com/prn/pepe-jeans-innerfashion-printed-womens-sleepwear-set-light-pink/prid/723103"
"721047","721047","Pepe Jeans Innerfashion Printed Women's Sleepwear Set (Off-White)","1 set","1599","2499","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/b5cf1e8c-76b7-49d1-a606-a1a6f55cdf85.png","https://blinkit.com/prn/pepe-jeans-innerfashion-printed-womens-sleepwear-set-offwhite/prid/721047"
"721043","721043","Pepe Jeans Innerfashion Solid & Striped Women's Sleepwear Set (Pink)","1 set","1599","2499","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/b5229e8a-d44b-48b1-935e-b9497ae226c1.png","https://blinkit.com/prn/pepe-jeans-innerfashion-solid-and-striped-womens-sleepwear-set-pink/prid/721043"
"698444","698444","Pepe Jeans Innerfashion Solid Cotton Men's T-Shirt (Navy)","1 unit","499","799","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/5d595509aa5b419b84cce776ddf5f461.png","https://blinkit.com/prn/pepe-jeans-innerfashion-solid-cotton-mens-tshirt-navy/prid/698444"
"698771","698771","Pepe Jeans Innerfashion Solid Cotton Men's T-Shirt (Peach)","1 unit","499","799","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/3f208e39-b08b-4c39-b68d-9480bc10ec27.png","https://blinkit.com/prn/pepe-jeans-innerfashion-solid-cotton-mens-tshirt-peach/prid/698771"
"543558","543558","Pepe Jeans Innerfashion Solid Quick Dry Men's T-shirt (Dusty Pink)","1 unit","549","999","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/6b5f7d9a-ee7f-417f-a9d0-dbdf525df701.png","https://blinkit.com/prn/pepe-jeans-innerfashion-solid-quick-dry-mens-tshirt-dusty-pink/prid/543558"
"722880","722880","Pepe Jeans Innerfashion Striped Women's Sleepwear Set (Pink)","1 set","1349","2299","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/e4d97948-d77a-442d-acb5-84adb866d46c.png","https://blinkit.com/prn/pepe-jeans-innerfashion-striped-womens-sleepwear-set-pink/prid/722880"
"524987","524987","Pepe Jeans Innerfashion Ultralight Cotton Printed Men's Boxers (Aqua Blue)","1 unit","639","749","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/34963282-2509-4915-b9eb-474bcf82590a.png","https://blinkit.com/prn/pepe-jeans-innerfashion-ultralight-cotton-printed-mens-boxers-aqua-blue/prid/524987"
"524979","524979","Pepe Jeans Innerfashion Ultralight Cotton Printed Men's Boxers (Black)","1 unit","719","799","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/bd73bd4a-13d9-411a-9190-65d7db7c3277.png","https://blinkit.com/prn/pepe-jeans-innerfashion-ultralight-cotton-printed-mens-boxers-black/prid/524979"
